user,review_description,rating,thumbsUpCount,review_date,developer_response,developer_response_date
insanelysirius,"I love this app. I love how it chooses just the right song based on my activy, unlike with other apps that chooses a way different genre of a song I'm playing which sucks. But I hope there could be a button or a feature wherein we don't have to swipe up for the lyrics every single time, just something that would show the lyrics automatically for all songs we're playing. If you get the idea? I'll be looking forward for it.",4,28,2022-07-27 04:54:33,,
Jonh Mojica,"Free version is the worst. Try making a playlist and only listening to those songs. It's impossible. I don't want recommended music, I don't want similar music I only want to hear the music I selected to make a playlist. Give me All the ads you want but don't add music I didn't ask for and then penalize me for skipping them. This is the equivalent to bullying a person to pay for a service and I won't stand for it. If you choose to use the app don't do the free version cause you'll hate it",1,1,2022-07-27 04:35:22,,
Djdjff Dkjfjd,literally this was such a good music app but than after this dumb update it ruined everything now I can't even listen 2 the songs on my playlist to check them out real quick and than you always add songs to my playlist even when I add enough songs so you don't do that it's it's annoying I might just delete this app and find a different one to listen to music on.,3,0,2022-07-26 23:47:33,,
j,"I'm sick and tired of having unwanted suggested songs autoplay and shuffle in whenever I try to play a playlist, and being unable to skip them if I've used up the amount of skips given per hour. I can't even get rid of them from my queue without skipping even if I try to click off onto other playlists or close the app. Hiding the song does nothing to help either. PLEASE give us an option to remove suggested songs from our queue/let us edit what songs are coming up by having a music queue button!",1,1,2022-07-26 23:30:29,,
Faizan Ahmed Hashmi,There should be an option to download individual songs. Could also use an even a quicker way of adding a song to a playlist.,4,0,2022-07-26 22:34:26,,
Hermit Sage,"I pay for premium but it will not let me save downloaded songs to an SD card. It just keeps moving them back. I go off grid a lot so this is very, very frustrating as I run out of space quickly. I'll change my rating to five stars when this is resolved as I have no other issues to note!",3,0,2022-07-26 21:32:54,,
Andrey Barsky,"The free version feels completely pointless, in it doesn't perform the most basic requirement of a music player - letting you pick songs you want to listen to, and listen to them. You can only give it a loose suggestion of what to play for you. And then you still get ads. I can't speak to the premium version, but the demo experience has done nothing to make me consider trying it. Just use youtube instead",1,5,2022-07-26 19:50:31,,
Richard Mankelow,"This is quite possibly the worst app I've ever installed (uninstalled now). You can't listen to what you want, only what they force you to listen to. Search is useless. UI makes very little sense. Never using this awful rubbish ever again! Would give 0 stars if could",1,0,2022-07-26 19:13:35,,
Captain Nikaxologist,I hate your ads it ruins everything,3,0,2022-07-26 17:09:51,,
Creation Love Destruction Hatred,Stops playing music/podcasts after 30 or so mins. There's no 'now playing' bar at the bottom anymore so you can't skip songs/skip/rewind on podcasts. Earbud button functionality has gone. Spotify need to sort this out in the next week or so or I'm going to cancel my sub,1,0,2022-07-26 16:06:20,,
Ryan D. Hall Morales,Latest update causes music player bar to sporadically disappear throughout the day (both in-app and out). Can't start music sometimes as well. Not to mention the UX changes made over the past couple of years making navigating my own saved music a hassle.,2,0,2022-07-26 15:44:22,,
Katie Anderson,"I don't know if it's the latest update, but after skipping 3 songs Spotify stops playing in my car. Every other app with sounds works, but Spotify just stops and the play button turns gray.",3,0,2022-07-26 14:07:45,,
Maurice Ward,"Spotify has been playing very well for me. However, I am dealing with an annoying bug in which the music only plays for close to 10 seconds before quitting. I would clear my cache, re-install, and even made sure to fix my battery optimization. It would play, but then it would cut the song off at odd times. I can't really subscribe to a service that isn't working like it should. I don't know what happened, but this isn't the Spotify I remembered using.",2,36,2022-07-26 13:17:18,,
Krish Kalra,"Horrible fake promotions , I opt for the premium plan which was availble for 120 /- after availing Student discount but after making the payment, debit amount was 450 /- and I didn't recieved any info why they have charged 3 times of original price. Also even after upgrading to premium, app still has some bugs, earlier download button was not working but after sometime it was working. I don't know why they have charged 450/- even after receiving receipt via mail showing Amt 120/-",1,0,2022-07-26 12:35:21,,
Susie Ivan,"I wish I could give 0 stars. I love Spotify so much but have been having major issues for years. I almost never update because every time I do something goes wrong which makes it unusable. Realized I hadn't updated since 2020, so I updated and it took me off of my premium family plan even though NO info changed, I can't see my playlists OR the play button/bar, and I have to close the app to get the audio to stop. Please fix this MESS of an App for real, this is ridiculous.",1,0,2022-07-26 11:24:22,,
Dhruv Sharma,unpopular opinion but i actually like the newer player ui. nicely done spotify team. Try to make it a little less cluttered and your app will be even better,4,0,2022-07-26 11:24:20,,
Jan Pavlu,"5 stars, the only thing that annoys me is when you accidentally click the like button on an old song that you liked, so you remove it from liked songs and you can't undo it. If it at least wasn't right next to play/pause button...",5,0,2022-07-26 09:22:43,,
Carlo Jr Espiritu,"In the start it was quite good, last month ive been trying to fix it but cant, i only see the artist and the song title but when i click it its on a duration, please spotify fix this. Ive been uninstalling installing but stil not fixed.",1,1,2022-07-26 05:42:47,,
Madison Phelps,"My review has gone down a star or 2 due to the recent bug in mine where (in a premium family plan) I've been getting to where I will hit a song in a playlist and evertime I click on any song it will skip down like 5 songs! It did this a couple of days ago and now it's doing it again! I even Uninstalled and reinstalled and it still isn't working properly, get yourselves together. I can't even listen to music properly anymore. Other than this I enjoyed the app, this kinda ruins it :/",3,0,2022-07-26 05:23:45,,
Haare Tawa,"This app has gone downhill, cuts out half way thru a song, the play button dissappears, takes a long time to load my playlists, even with wifi at its full, they better do something or else people will move to another platform,",1,2,2022-07-26 05:07:26,,
Brayden Bennati,I like the app but there is one slight problem now and then I'll be listening to music on my headphones or just my phone and it randomly goes from Sami quiet volume to full on blasting music without touching the volume button and never had this problem with any other app. Using the s22 ultra,3,0,2022-07-26 04:44:31,,
Raven,"It plays music, but the ads are insane, you can only listen to playlists on shuffle, and the button to repeat a song is gone, so you can only play a song once. You can't listen to a song by itself, just the preview. I miss the old Spotify.",2,1,2022-07-26 03:52:58,,
VIKAS BHATELE,"Everything is good except audio quality, Songs selection, recommendation, UI, I love it but in terms of audio quality even when i suscribe - its way too low then others. They dont even allow to talk tk customer care services.",2,0,2022-07-26 02:53:17,,
Michael Mühlbacher,"so many bugs! remote playing basically does not work at all, the UI does often not respond and random playing does not work.",5,0,2022-07-26 00:40:04,,
Kieran McAleer,Super slow to open. Have made UI worse. Downloads hidden from view for no good reason.,1,2,2022-07-26 00:17:00,,
Andy Moore,Buggy with a terrible ui.,2,0,2022-07-25 23:36:56,,
Jesse Jacobs,Same song over and over and your app just cuts off whenever it wants. I mean same song I've had to literally hit the hide button on songs I like just to stop hearing them. We are so intelligent yet none of our technology works correctly and we are all just ok with it I don't understand. Hold yourself to higher standards please everyone's ok with the basic half assed work and I'm so confused,2,0,2022-07-25 20:00:50,,
Amber Forget,"Your delete playlist button it right under the edit playlist button. I've accidentally deleted two very large playlists now. Piss me off. Move delete to the bottom of the settings on a playlist. Or underneath ""invite collaborators"" at least like come on. I'll bump you to 5 stars when this is fixed.",1,0,2022-07-25 20:00:26,,
Brenna Berchtold,"If I could do 4.5 stars I would. It super annoying how easily you or just a messy screen can make you just instantly block songs. Like why is the button RIGHT BELOW ""add to playlist"" bruh for real put it at the bottom, or possibly only make it a little side button option. I have lost way too many good songs because of how close they are 😫",3,1,2022-07-25 19:46:53,,
Rona Faith Montie,"This would have been a 5 star review before the update completely ruined things. I love Spotify and I use it to study all the time but because of the update, songs refuse to play and I've tried everything on the help website but it's still the same story. I AM SO ANGRY ABOUT IT",1,1,2022-07-25 19:40:16,,
J V,"Keeps removing songs from my playlists, STOP DOING THAT MAN. Random order isn't actually random it's set and never changes. Normal quality is GARBAGE, the higher quality is good and streams pretty well. They won't take my prepaid card, oh well I'm on tidal now why do these morons make it so difficult to pay them I've already given them over $500. The only advantage of Spotify over others is that is streams with less cut out on higher quality. Normal quality here should be illegal and a lawsuit.",2,0,2022-07-25 19:00:26,,
Sudhanshu kumar,Recommendations are so damn Perfect. Interface is quite good and with the green and black theme it feels sick !,5,1,2022-07-25 18:48:52,,
Tord larrson626,"I dont like the fact when I listen to my play list a weird song comes up that is not even on my play list. You also got rid of the looping buttons and only gave me 6 skips. I also don't want you premium. I have more things to worry about than your premium. Another thing I would like to add is the shuffle button on the playbutton, I hate it. I liked being able to listen to my music over and over again. I would rate it better is you've kept the loop buttons and gave me more skips.",1,0,2022-07-25 18:46:42,,
Kris De Gelder,"I have been using Spotify for my family and I since 2015. And I never intend to stop. It is my most used app on my phone. I love having Premium. It is definitely worth the money, everything about Spotify is amazing, and I've already managed to convert quite a few people. Keep up the incredible work. The pre-made Playlists are great for indecisive people such as myself, that only know the mood they're in, and Spotify does all the rest!! They literally have everything you could ask for, and more!",5,4,2022-07-25 18:17:54,,
Skeletron Licker,"Why does it require premium to skip songs more than 6 times an hour? So petty. ""No, Jesse Pinkman, You can't skip songs until you pay ten bucks a month."" Audiomack is better than this, and that's saying something.",1,1,2022-07-25 17:12:47,,
hemant gomase,"Hello, Spotify team, Gives a clear button for recent played Because person to person they changes their mind for listening songs and that's annoying for hearing same songs in different mood or mindset of same person. So pleased, suggest this upgrade to your team leader, Thank you.",4,0,2022-07-25 17:03:10,,
Orlando Paulino,The play bar has been disappearing for the past year or so and this still hasnt been fixed which then requires me to force stop the app multiple times a day. It's exhausting. I pay for premium.,2,0,2022-07-25 16:55:55,,
Capn McKay,"Was working great until recently. However, has stopped working in a major way. When I'm not connected to the internet or even when I am playing music, the buttons disappear and so does any access to the app but it keeps playing or stops randomly and I can't get it to play again. Been recommended to switch apps, but will wait and see if there is an update patch... Have reinstalled already...",2,3,2022-07-25 15:02:30,,
Nick Uhlott,"Frequently glitches out. Can't see now playing and skip/play/pause. Frequently errors ""Spotify is trying to play"" while playing... Requires force close or phone restart to work as intended.",1,0,2022-07-25 13:07:59,,
Siddharth Maheshwari,Hacked multiple times... no 2 factor authentication... the helpdesk is quick to respond but still a hassle.,2,0,2022-07-25 11:32:18,,
A Google user,"I take this app for granted! Thank you Spotify for making a good app. After using the disgusting app of YouTube Music, I appreciate Spotify so much more! Great UI, good functionality, awesome features! ❤️",5,55,2022-07-25 09:57:22,,
ScriptCity Co,They Keep removing features. E.g. music preview on playlists..... (Next feature.....is disable the play button too why not 🤷) just have a big pay to unlock. Sack your Dev team! The apps gone downhill.,1,0,2022-07-25 09:19:03,,
Mr. BARA,They ask for premium always and ruin ur pleasure of using da app,1,0,2022-07-25 08:59:27,,
Daryl Gerlach,Since the latest update songs won't play or will just skip the song quite annoying and I pay for the subscription need to sort it out ASAP,2,0,2022-07-25 08:35:50,,
Noah,"The software has really been sucking lately. Lots of visual glitches in the app requiring restart, and just general fuvky-wuckyness 🤷",2,0,2022-07-25 06:15:41,,
Johnathan Richardson,"I was a premium user for 6 months . I canceled and went to Deezer when it started giving me constant problems with storing music and having to redownload them constantly . The app is also a bit glitchy . It does have the most polished GUI , beautiful to look at . They were just getting a bit to invasive for my taste and not working as intended . Not acceptable in a paid app .",2,0,2022-07-25 04:54:06,,
Reece Kraus,Spotify used to be a good app until I wasn't able to see my playlists or play them. And if I tried to play them it would just load infinitely. And I have great wifi. So I recommend using another music app besides this one cause it just ruins the fun of music.,1,0,2022-07-25 00:01:36,,
Juan Torres,Why dont you add slide gestures like in iphone? It makes the UX/UI way better on iphone and thats not fair!,3,0,2022-07-24 21:48:27,,
Lea Espiritu,Spotify something is wrong with my liked songs when I click on the button it shows a blank space,5,0,2022-07-24 21:12:54,,
Magic Man,"Good app, love the experience. One small bug I found: During a Remote Group Session, only Iphone users can see the song queue. For android users the button is greyed out. Would love to see this fixed.",4,0,2022-07-24 21:03:49,,
Gleb Eremeev,The app suddenly stops playing music on my Pixel 5a. I can't use it normally and it's quite annoying,1,1,2022-07-24 18:47:47,,
# SomeOrdinaryKpopper,"Not sure where to report bugs so I'll just do it here, once it's fixed I'll change my review appropriately. Whenever I go on any playlist, go to find an artist, click onto either ""See more"" or any albums and preview the song, and then try to click the back button (both in app back on top left and Android back button, don't know if that matters), it crashes the app. I've tested multiple times under different circumstances and that's just what I've found :P",1,7,2022-07-24 18:14:42,,
Chaz Rooks,"Been a premium member for years, and just noticed that my friends cannot listen to ANY of my custom playlist that I've made, which is about 95% of my collection. This is unacceptable. I've deleted and reinstalled many times and my friends still can't view my playlist to listen to the songs. I genuinely love this app and I'm sadden to see the lack of effort being used via your platform.",1,4,2022-07-24 16:33:34,,
Abraham Maxwell,Everything requires premium. I hate it. The songs are good atleast.,2,0,2022-07-24 16:31:59,,
Coby Dooley,It's a very cool app but what kinda gets me is there us no way to play the song you want due to there being only one button which is to shuffle,3,0,2022-07-24 15:34:41,,
Nick C,"You ""like"" songs & make playlists. That's really about it. Extremely LACKLUSTER software design. I mean seriously, a team of professionals designed this software? * No way to organize playlists on mobile. * Got rid of EQ on PC and never had it on mobile. (Must be a hard feature to develop!) * Why the extra tap to JUST see my playlists in my library. This was the worst design choice recently and incredibly annoying. Stop wasting time on useless features like ""canvases"". Nobody gaf about that.",2,1,2022-07-24 15:14:37,,
Diva Karan,Songs nd lyrics are helpful but the ad is seriously killing the vibe... I got 3 ad continuely for 30 seconds. I hate it Giving us free music by easy search but ruining it ad is bad that's why i gave 2 star,2,0,2022-07-24 14:14:26,,
Darryl Derouen,I have enjoyed the ease of using the app. It's so easy to build a playlist. I have recommended the app to others and will continue to do so.,5,0,2022-07-24 13:48:33,,
Trash Mix,"Sounds very clear, however its completely outweighed by the cumbersome UI, not being able to decide the order of music to play, not being able to skip more than six songs an hour, (why?) And for the love of God, STOP ADDING SONGS FOR ME!",2,0,2022-07-24 11:56:06,,
Munish Rana,"I took great efforts in building playlists over years. Then one day I wake up and .. --> ""log in to continue"". I try logging in, ""no user found with this email"". I try all 4 of the emails that I have ever created in my life; no luck. I try my phone number, no avail. Forced to make a new registration, I finally log in. And... BOOM! ALL PLAYLISTS GONE! All history gone. All favorites gone! Thank you for a wonderful experience",1,0,2022-07-24 07:06:49,,
Funko pop Collector,"(No i dont have premium btw)I will be quite honest this is the only reason im pissed but i just looked at my ""episodes for you"" thought it would be fine cause i never listened to anything weird on spotify well it seems they like digging into ur personal life like sexuality because on my recomended is something that should not be on this app called big bro's frat party where the picture is dudes having sex with prety much no clothing and im not out or want to be forced out by this or see it .",1,0,2022-07-24 06:28:34,,
redneck reinvention,"I've had a couple problems with spotify over the years, but nothing major. Recently my Facebook got hacked which is how I log in and I could no longer access my spotify account. Their customer service had me all fixed up in less than 10 minuits through a text service. I was amazed.",5,0,2022-07-24 06:13:34,,
Ben Revier,It's a really great company. And I have a wide variety of music. I get the gift cards every so often so I don't have to pay a prescription. I really like that option. And also has good sound quality. The only thing I wish they had was a down button like some other competitors but other than that it's a great app. And great customer service I had a problem once and they fixed it within minutes. And we're very professional and polite. Keep up the good work Spotify,5,1,2022-07-24 05:34:51,,
eldi L-D,"have had the 'Premium' subscription for awhile now, and have really enjoyed Spotify. recently, however, cannot get Spotify to play podcasts on Google nest. apparently this is a known problem with Spotify. music is fine. podcasts won't play on a number of external devices. extremely disappointed that this issue has been plaguing people for 6+ months with no sign of solution...and we're still paying full price, for partial service. Spotify, i really want to love you again. can we work it out?",1,4,2022-07-24 05:07:03,,
Eddy Miller,Learned my likes quickly! App is easy to setup and use. It's also exposed me to great artist I didn't know.,5,0,2022-07-24 04:53:19,,
LolimZane ?,"it's an amazing music app, I love it and quit all my other music subscriptions but this one I just love how every update for my Galaxy S9 fixes one this and royally messes up another. like either the song will randomly pause, will needa pause and play to hear some songs are first, but those are fixed the newest is that it doesn't load the song on the bottom so you can't click the song your currently listening to or everything you click just takes your back to the playlist you where last looking",2,23,2022-07-24 04:34:48,,
Daniel Brian,Plays songs that are not in my playlist when I click on the play button in the playlist not the first time this has done this. This issues keeps persisting. I don't want to listen to songs not in my playlist. Fix plz,2,0,2022-07-24 02:57:09,,
Ronald Gruchow,Too many choices demanding an immediate decision. Very difficult for someone trying to learn how to negotiate the procedure required.,3,0,2022-07-24 01:14:44,,
Jennifer Drossart,Was hoping to get away from Amazon music. But this app only allows you to listen to whole albums and artists you can't actually build your own playlist. Glad I realized that before I spent money on it.,2,0,2022-07-24 00:58:14,,
jim yee,"2 stars because when I try to play one of the popular songs on my fav artist profile, it shows names. I liked it when there was a list of their popular songs. But now it's just song names and a green button that plays a song that's from a different artsit that I don't listen to. Change it back to the popular list of songs instead of the names",2,0,2022-07-24 00:37:34,,
david rucinski,"This most recent update will only play the first song, and then nothing unless you restart the app. I've been using Spotify for years and this is quite annoying.",3,0,2022-07-23 23:21:32,,
Nelson Arcos,"Need to move the like button somewhere else! I keep accidentally removing liked song from library, when I scroll or skip song.",3,0,2022-07-23 21:46:30,,
buble bub,deleting the feature that allows to add songs to your playlist quickly was ur worst decision. now it takes forever to add some songs to my playlist. thank you 😋 okay in other hand this app is like... nice to use. even though now i can't even listen the parts of the songs to add in playlists like i did before.. 😔,3,1,2022-07-23 20:46:51,,
Lydia Rochon,Latest update made some of my playlists on mobile inaccessible waiting on a fix I need pc just to press play button,5,1,2022-07-23 20:08:40,,
Agastya Singh,"Probably the best music streaming platform...high quality music and very classy ui I love everything about Spotify And yes, the premium plan is very affordable and worth the money.",5,0,2022-07-23 16:19:56,,
Cliff Likovo,The app doesn't play songs after clicking the next button,2,1,2022-07-23 14:58:22,,
EPIC ҠᎡᏆՏᎻΝᎪ,"Outstanding platform for listening songs , Spotify is the best app than any other 🤩💕, love its features and UI very much. Very user-friendly (except those unwanted and daily same recommendations 😒) but like this platform should be listening our favourite songs as well as new songs.",5,0,2022-07-23 14:15:47,,
Antonija K,I've been using spotify for too long for it to constantly get worse. Currently it keeps lagging. Player dissappears in the app so you have to close it to be able to skip a song. Shuffle button is moved again so it takes longer to shuffle music since system always plays same songs out of thousands. It's just small bugs that could get fixed (and were) that keep making experience bad.,1,10,2022-07-23 14:13:40,,
Gauri Yadav,It was working quite well but for the past few days the playlist of *liked songs* isn't opening and whenever i am searching for a song it shows *no results* and when i close the app and search the same thing again the results show can u pls fix this bug it's totally annoying me for the past few days,3,0,2022-07-23 12:58:30,,
Xavi. Cat.,"Its like the Spotify team tried to make the worst possible UI. Non of it is intuitive and a lot of features are either hard to access or not present. Unless you NEED spotify I'd recommend anything else, like Soundcloud.",1,0,2022-07-23 12:46:21,,
Ganesh Naidu,Good ui interface,5,0,2022-07-23 12:31:56,,
Wheberth Damascena Dias,Lately experience is awful. Every time rather cell phone is connected to 5G Network the app does not build enough buffer and the playback is really choppy!,1,0,2022-07-23 11:39:56,,
Gloria Zhang,"I think that Spotify is amazing and I've been using for quite a while. Pretty much listen to all my music on here but I think that you should still be able to listen to your music in an order you choose, without premium because it just gives you a sense that you know what you are going to be listening too, especially if the playlist you have is a long one.",3,0,2022-07-23 11:26:51,,
Ganesh Suresh Jagtap,Uninstalling App coz 1 song we listen and we've to listen 4 advertisement of 30 sec for each. No skip button after few sec. We can handle 1 advertisement after one song but not so many. For money they'll keep irritating you while enjoying the music.,1,0,2022-07-23 09:07:21,,
Thekiwifruitt _,"It's great love this app, I wish a lot of songs were on here. Songs that are from SoundCloud and etc. One problem is when I skip through multiple songs quickly sometimes it'll freeze and etc",4,0,2022-07-23 09:05:13,,
Undead 217,Its alright just wiah id quit getting ads of stupid rappers that dont know how to make good music when im a metal head,3,0,2022-07-23 08:53:57,,
Vedantsing Pardeshi,Update the boring UI and UX please. The Apple Music App for Android has a better UI than this.,2,1,2022-07-23 07:20:36,,
Oreo Milkshake,When you try listening to a certain song it forces you to listen to all these other songs because there's mix button that you can turn off and add after less than 3 song and 6 free skips every hour I would give this 4 stars on Spotify for PC and laptop cause the only downside to that is ads every 30 minute and you can't download songs but that's all fix if you get Spotify premium.,1,0,2022-07-23 06:56:07,,
ヌーガミ,"Awesome platform, but, with all the ads (5 30sec ads at times) and still not being able to listen songs in order sux, even ruin listening to a single artist when the shuffle jumps to other artists you don't want",5,0,2022-07-23 05:30:21,,
CoolGuyCoolerGamer,"Now that the loading issues are fixed, app is great and even the free version is quite nice(granted you use the browser/desktop versions to create playlists).",5,2,2022-07-23 03:39:58,,
Daniel Palmer,"Not as good as it was, all mixes that ""suit"" me is nothing new, all just my liked songs list.",2,0,2022-07-23 00:41:53,,
Nate Patterson,Worst app on my phone and TV. Continuously crashes and takes out additional apps and often entire OS. Plays when unprompted. Maintains play after stopped. Maintains Bluetooth connections when my phone Bluetooth is turned off. Poor quality. Continually loses songs I have previously liked without warning. The software design is trash. Good service. Trash app. I like many others only stick with the app. If I were introduced to spotify brand new tomorrow I'd laugh at the person who recommended it.,1,3,2022-07-22 23:17:54,,
Daniel Cooper,"Efficient, effective honestly one of the best apps I have ever used. The algorithm is spectacular always finds what I want. If you are looking for an app to use to find specific songs you don't know: Spotify is great for that or Shazam. 9/10 still needs ux upgrades and more control.",5,0,2022-07-22 22:44:30,,
enkelbert Matibiri,Good app with a lot of music to suit different music taste.,4,0,2022-07-22 21:13:50,,
Cosmo :D,"I do not like how it does not let me search up the songs, when I press the edit button to put in songs, but it doesn't show up >:( Please fix this now",1,0,2022-07-22 20:11:43,,
Swapnil Raj Saikia,IOS app UI is better... please make it like that _ atleast add the swipe controls,5,0,2022-07-22 19:05:02,,
Kari Moneyhon,Its been great as a deaf person i use special equipment to hear my favorite songs the ones i missed when i was a teenager. So thanks for the anxiety relief.,5,0,2022-07-22 18:04:15,,
William Hood,App sux. Kicks my family out. Freezes often,1,0,2022-07-22 17:33:59,,
